series,location,keywords,numpages,articleno,booktitle,abstract,doi,url,address,publisher,isbn,year,title,author,ENTRYTYPE,ID,month,journal,number,volume,issue_date,pages,issn
ASSETS '25,,"Individuals with Disabilities \&amp; Assistive Technologies, Video Accessibility, ADHD",18,70,Proceedings of the 27th International ACM SIGACCESS Conference on Computers and Accessibility,"While videos have become increasingly prevalent in delivering information across different educational and professional contexts, individuals with ADHD often face attention challenges when watching informational videos due to the dynamic, multimodal, yet potentially distracting video elements. To understand and address this critical challenge, we designed FocusView, a video customization interface that allows viewers with ADHD to customize informational videos from different aspects. We evaluated FocusView with 12 participants with ADHD and found that FocusView significantly improved the viewability of videos by reducing distractions. Through the study, we uncovered participants’ diverse perceptions of video distractions (e.g., background music as a distraction vs. stimulation boost) and their customization preferences, highlighting unique ADHD-relevant needs in designing video customization interfaces (e.g., reducing the number of options to avoid distraction caused by customization itself). We further derived design considerations for future video customization systems for the ADHD community.",10.1145/3663547.3746386,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3663547.3746386,"New York, NY, USA",Association for Computing Machinery,9798400706769,2025,FocusView: Understanding and Customizing Informational Video Watching Experiences for Viewers with ADHD,"Zhu, Hanxiu ‘Hazel’ and Chen, Ruijia and Zhao, Yuhang",inproceedings,10.1145/3663547.3746386,,,,,,,
,,"Human–AI Co-Creativity, Mental Models, Conceptual Models, Co-Creative AI, Ethical Stance",26,24,,"As AI becomes increasingly prevalent in creative domains, it is imperative to understand users’ mental models of AI in human–AI co-creation as mental models shape user experiences. Additionally, gaining insights into users’ mental models is essential for the development of human-centered co-creative AI. This article introduces a framework for exploring users’ mental models of co-creative AI. Using a large-scale study (n = 155), we explore mental models of two existing AI systems, ChatGPT and Stable Diffusion, in co-creation contexts. Participants engaged in creative tasks with both AI and completed surveys, revealing insights into mental models and their associations with demographic factors and users’ ethical stances. The results highlight the major types and patterns of mental models of AI in co-creative contexts. Findings also reveal that individuals with expertise in AI typically have Partnership-oriented mental models of co-creative AI, while those lacking AI literacy tend to have more Tool-oriented mental models. Furthermore, individuals with Partnership-oriented mental models usually have a positive ethical perspective toward anthropomorphism in AI, data collection by AI, and AI’s societal impact. Additionally, results highlight that conversational co-creative AI is generally perceived as a collaborator, whereas non-conversational AI is typically viewed as a tool.",10.1145/3769072,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3769072,"New York, NY, USA",Association for Computing Machinery,,2025,An Exploration of Mental Models of AI in Human–AI Co-Creativity: A Framework and Insights,"Rezwana, Jeba and Maher, Mary Lou",article,10.1145/3769072,December,ACM Trans. Interact. Intell. Syst.,4,15,December 2025,,2160-6455
,,,9,,"Proceedings of the 2025 International Conference on Computer Technology, Digital Media and Communication","Generative Artificial Intelligence (AIGC) continues to revolutionise the design field. To explore technical pathways for AIGC-enabled digital innovation and application of patterns in Hakka traditional attire—a form of intangible cultural heritage—this study employed interviews to extract consumers' affective vocabulary regarding traditional Hakka garment motifs. It constructed a four-dimensional charm factor analysis diagram integrating “central imagery—compositional form —Colour Palette—Craft Techniques” quadruple-factor charm analysis diagram. This was then translated into AIGC prompt words, achieving a transformation from user perception to design language. Through multi-round iterative generation using the AIGC (Seedream 4.0) model, innovative Hakka costume patterns blending traditional charm with contemporary aesthetics were ultimately produced. Concurrently, the AIGC (ComfyUI) platform applied these generated patterns to garment design, achieving a fully digitalised design process from pattern generation to application. Research indicates that integrating AIGC into Hakka textile pattern design not only enhances design efficiency but also broadens pattern diversity. This provides an actionable practical pathway for AIGC in the digital design and application of Hakka textile patterns, holding significant importance for the living heritage and modern transformation of Hakka textile patterns.",,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3783669.3783694,"New York, NY, USA",Association for Computing Machinery,9798400719523,2026,Research on Digital Innovation Design and Application of Hakka Costume Patterns Empowered by AIGC,"Cheng, Xiaoli and Chen, Yumeng and Jing, Zeyin",inbook,10.1145/3783669.3783694,,,,,,163–171,
SIGIR '24,"Washington DC, USA","diffusion model, generative outfit recommendation, generative recommender model",10,,Proceedings of the 47th International ACM SIGIR Conference on Research and Development in Information Retrieval,"Outfit Recommendation (OR) in the fashion domain has evolved through two stages: Pre-defined Outfit Recommendation and Personalized Outfit Composition. However, both stages are constrained by existing fashion products, limiting their effectiveness in addressing users' diverse fashion needs. Recently, the advent of AI-generated content provides the opportunity for OR to transcend these limitations, showcasing the potential for personalized outfit generation and recommendation.To this end, we introduce a novel task called Generative Outfit Recommendation (GOR), aiming to generate a set of fashion images and compose them into a visually compatible outfit tailored to specific users. The key objectives of GOR lie in the high fidelity, compatibility, and personalization of generated outfits. To achieve these, we propose a generative outfit recommender model named DiFashion, which empowers exceptional diffusion models to accomplish the parallel generation of multiple fashion images. To ensure three objectives, we design three kinds of conditions to guide the parallel generation process and adopt Classifier-Free-Guidance to enhance the alignment between the generated images and conditions. We apply DiFashion on both personalized Fill-In-The-Blank and GOR tasks and conduct extensive experiments on iFashion and Polyvore-U datasets. The quantitative and human-involved qualitative evaluation demonstrate the superiority of DiFashion over competitive baselines.",10.1145/3626772.3657719,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3626772.3657719,"New York, NY, USA",Association for Computing Machinery,9798400704314,2024,Diffusion Models for Generative Outfit Recommendation,"Xu, Yiyan and Wang, Wenjie and Feng, Fuli and Ma, Yunshan and Zhang, Jizhi and He, Xiangnan",inproceedings,10.1145/3626772.3657719,,,,,,1350–1359,
DIS '23,"Pittsburgh, PA, USA","creativity support, digital mood board, human-AI interaction, ideation",11,,Proceedings of the 2023 ACM Designing Interactive Systems Conference,"During past decades, Artificial Intelligence (AI) has been consistently used in Creativity Support Tools (CSTs). Recently, with the development of generative AI models, particularly Generative Adversarial Nets (GAN) in Computer Vision, it became possible that AI directly generates visual ideas. However, there were rarely any work in creativity research that harnessed the design ideas generated by such models directly for design space exploration. In this paper, we propose a StyleGAN-driven digital mood board, GANCollage, that integrates AI generated visual ideas into the ideation phase for creativity support. GANCollage supports semantic explorations of StyleGAN generations in an iterative human-in-the-loop manner, using an AI-driven interactive tagging system. Our evaluation involving 10 participants manifests that GANCollage provides more creativity support without compromising the final results. It also offers a more enjoyable, explicit and effective way of exploring AI generated visual ideas for ideation.",10.1145/3563657.3596072,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3563657.3596072,"New York, NY, USA",Association for Computing Machinery,9781450398930,2023,GANCollage: A GAN-Driven Digital Mood Board to Facilitate Ideation in Creativity Support,"Wan, Qian and Lu, Zhicong",inproceedings,10.1145/3563657.3596072,,,,,,136–146,
,,"Ownership, authorship, large language models, text generation",40,25,,"Human-AI interaction in text production increases complexity in authorship. In two empirical studies (n1 = 30 \&amp; n2 = 96), we investigate authorship and ownership in human-AI collaboration for personalized language generation. We show an AI Ghostwriter Effect: Users do not consider themselves the owners and authors of AI-generated text but refrain from publicly declaring AI authorship. Personalization of AI-generated texts did not impact the AI Ghostwriter Effect, and higher levels of participants’ influence on texts increased their sense of ownership. Participants were more likely to attribute ownership to supposedly human ghostwriters than AI ghostwriters, resulting in a higher ownership-authorship discrepancy for human ghostwriters. Rationalizations for authorship in AI ghostwriters and human ghostwriters were similar. We discuss how our findings relate to psychological ownership and human-AI interaction to lay the foundations for adapting authorship frameworks and user interfaces in AI in text-generation tasks.",10.1145/3637875,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3637875,"New York, NY, USA",Association for Computing Machinery,,2024,The AI Ghostwriter Effect: When Users do not Perceive Ownership of AI-Generated Text but Self-Declare as Authors,"Draxler, Fiona and Werner, Anna and Lehmann, Florian and Hoppe, Matthias and Schmidt, Albrecht and Buschek, Daniel and Welsch, Robin",article,10.1145/3637875,February,ACM Trans. Comput.-Hum. Interact.,2,31,April 2024,,1073-0516
CHI '25,,"Extended Reality, Content Curation, Visualization, Physical Ad Blocker",18,626,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,"Inspired by the concepts of diminishing reality and ad-blocking in browsers, this study investigates the perceived benefits and concerns of blocking physical, real-world content, particularly ads, through Extended Reality (XR). To understand how users perceive this concept, we first conducted a user study (N = 18) with an ad-blocking prototype to gather initial insights. The results revealed a mixed willingness to adopt XR blockers, with participants appreciating aspects such as customizability, convenience, and privacy. Expected benefits included enhanced focus and reduced stress, while concerns centered on missing important information and increased feelings of isolation. Hence, we investigated the user acceptance of different ad-blocking visualizations through a follow-up online survey (N = 120), comparing six concepts based on related work. The results indicated that the XR ad-blocker visualizations play a significant role in how and for what kinds of advertisements such a concept might be used, paving the path for future feedback-driven prototyping.",10.1145/3706598.3713230,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3706598.3713230,"New York, NY, USA",Association for Computing Machinery,9798400713941,2025,Ad-Blocked Reality: Evaluating User Perceptions of Content Blocking Concepts Using Extended Reality,"Katins, Christopher and Strecker, Jannis and Hinrichs, Jan and Knierim, Pascal and Pfleging, Bastian and Kosch, Thomas",inproceedings,10.1145/3706598.3713230,,,,,,,
UIST '25,,"3D authoring, VR authoring system, Gaussian Splatting editing",14,188,Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology,"We present GaussianShopVR, a VR-based authoring system for controllable and fine-grained editing of 3D Gaussian Splatting (3DGS). Although 3DGS has gained popularity for its capability to quickly create digital replicas of real-life scenes and its compatibility with existing rendering pipelines, current methods often struggle with detailed 3D editing due to cumbersome target area selection and inadequate spatial control on AI-driven editing. GaussianShopVR addresses these challenges by harnessing intuitive VR interactions for efficient point selection and drawing. We further enhance editing methods to support interactive creative tasks, including precise object splitting, real-time color adjustment, and controllable object generation from drawn points. We evaluate GaussianShopVR through three user studies focusing on point selection efficiency (N=18), controllable 3D generation (N=20), and overall usability (N=10). The findings suggest that GaussianShopVR provides an immersive, flexible, and controllable approach to 3DGS-based content creation in VR. Our code is available at https://github.com/CISLab-HKUST/GaussianShopVR.",10.1145/3746059.3747803,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3746059.3747803,"New York, NY, USA",Association for Computing Machinery,9798400720376,2025,GaussianShopVR: Facilitating Immersive 3D Authoring Using Gaussian Splatting in VR,"Shen, Yulin and Li, Boyu and Huang, Jiayang and Yip, David and Wang, Zeyu",inproceedings,10.1145/3746059.3747803,,,,,,,
UIST '25,,"Storyboard, Generation, Pre-Visualization, Pre-Production, Relighting, Director–Cinematographer Collaboration",18,18,Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology,"Effective communication between directors and cinematographers is fundamental in film production, yet traditional approaches relying on visual references and hand-drawn storyboards often lack the efficiency and precision necessary during pre-production. We present CineVision, an AI-driven platform that integrates scriptwriting with real-time visual pre-visualization to bridge this communication gap. By offering dynamic lighting control, style emulation based on renowned filmmakers, and customizable character design, CineVision enables directors to convey their creative vision with heightened clarity and rapidly iterate on scene composition. In a 24-participant lab study, CineVision yielded shorter task times and higher usability ratings than two baseline methods, suggesting a potential to ease early-stage communication and accelerate storyboard drafts under controlled conditions. These findings underscore CineVision’s potential to streamline pre-production processes and foster deeper creative synergy among filmmaking teams, particularly for new collaborators. Our code and demo are available at https://github.com/TonyHongtaoWu/CineVision.",10.1145/3746059.3747793,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3746059.3747793,"New York, NY, USA",Association for Computing Machinery,9798400720376,2025,CineVision: An Interactive Pre-visualization Storyboard System for Director–Cinematographer Collaboration,"Wei, Zheng and Wu, Hongtao and Zhang, lvmin and Xu, Xian and Zheng, Yefeng and Hui, Pan and Agrawala, Maneesh and Qu, Huamin and Rao, Anyi",inproceedings,10.1145/3746059.3747793,,,,,,,
,,"Art therapy, art therapy homework, client-practitioner collaboration, human-Al interaction",38,113,,"Art therapy homework is essential for fostering clients' reflection on daily experiences between sessions. However, current practices present challenges: clients often lack guidance for completing tasks that combine art-making and verbal expression, while therapists find it difficult to track and tailor homework. How HCI systems might support art therapy homework remains underexplored. To address this, we present TherAlssist, comprising a chent-facing application leveraging human-Al co-creative art-making and conversational agents to facilitate homework, and a therapist-facing application enabling customization of homework agents and Al-compiled homework history. A 30-day field study with 24 clients and 5 therapists showed how TherAlssist supported clients' homework and reflection in their everyday settings. Results also revealed how therapists infused their practice principles and personal touch into the agents to offer tailored homework, and how Al-compiled homework history became a meaningful resource for in-session interactions. Implications for designing human-Al systems to facilitate asynchronous client-practitioner collaboration are discussed.",10.1145/3749497,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3749497,"New York, NY, USA",Association for Computing Machinery,,2025,TherAIssist: Assisting Art Therapy Homework and Client-Practitioner Collaboration through Human-AI Interaction,"Liu, Di and Bai, Jingwen and Zhang, Zhuoyi and Zhang, Yilin and Zhang, Zhenhao and Zhao, Jian and An, Pengcheng",article,10.1145/3749497,September,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,3,9,September 2025,,
